case_id,expected_label,synthetic_url,local_html_fixture_path,rationale,source,url_score,url_signals,html_score,html_signals,combined_score,predicted_label,verdict,correct
P12,phishing,https://login-review.example/,fixtures/p12_identity_confirmation.html,Synthetic identity-confirmation lure.,synthetic_offline_evaluation,25,Suspicious keyword detected: login | Hyphenated URL detected,45,Suspicious keyword detected: urgent action required | Password input field detected | Credential form submits to an external destination | Credential verification language detected,70,phishing,High Risk,true
P13,phishing,https://bank-secure-access.example/,fixtures/p13_bank_security_lure.html,Synthetic banking security wording.,synthetic_offline_evaluation,55,Suspicious keyword detected: secure | Suspicious keyword detected: bank | Hyphenated URL detected | Multiple hyphens detected,40,Suspicious keyword detected: bank login | Suspicious keyword detected: security alert | Password input field detected | Credential form submits to an external destination,95,phishing,High Risk,true
P14,phishing,https://password-reset-notice.example/,fixtures/p14_reset_lure.html,Synthetic password-reset lure.,synthetic_offline_evaluation,45,Suspicious keyword detected: password | Hyphenated URL detected | Multiple hyphens detected,50,Suspicious keyword detected: verify your account | Suspicious keyword detected: password reset | Password input field detected | Credential form submits to an external destination | Credential verification language detected,95,phishing,High Risk,true
P15,phishing,https://bonus-confirm.example/,fixtures/p15_bonus_lure.html,Synthetic bonus confirmation lure.,synthetic_offline_evaluation,35,Suspicious keyword detected: bonus | Suspicious keyword detected: confirm | Hyphenated URL detected,50,Suspicious keyword detected: confirm identity | Suspicious keyword detected: claim reward | Password input field detected | Credential form submits to an external destination | Credential verification language detected,85,phishing,High Risk,true
P16,phishing,https://secure-login-verify.example/,fixtures/p16_multi_signal_lure.html,Synthetic multi-signal credential page.,synthetic_offline_evaluation,70,Suspicious keyword detected: login | Suspicious keyword detected: verify | Suspicious keyword detected: secure | Hyphenated URL detected | Multiple hyphens detected,80,Suspicious keyword detected: verify your account | Suspicious keyword detected: security alert | Suspicious keyword detected: limited time offer | Password input field detected | Credential form submits to an external destination | Credential verification language detected | iframe detected | Potentially dangerous JavaScript detected,150,phishing,High Risk,true
P17,phishing,https://update-customer-security.example/,fixtures/p17_suspicious_url_and_form.html,Synthetic update/security credential page.,synthetic_offline_evaluation,50,Suspicious keyword detected: update | Suspicious keyword detected: security | Hyphenated URL detected | Multiple hyphens detected,45,Suspicious keyword detected: security alert | Password input field detected | Credential form submits to an external destination | Credential verification language detected,95,phishing,High Risk,true
P18,phishing,https://login-verify-center.example/,fixtures/p18_verification_centre.html,Synthetic login-verification centre.,synthetic_offline_evaluation,55,Suspicious keyword detected: login | Suspicious keyword detected: verify | Hyphenated URL detected | Multiple hyphens detected,40,Password input field detected | Credential form submits to an external destination | Credential verification language detected,95,phishing,High Risk,true
P19,phishing,https://gift-account-check.example/,fixtures/p19_gift_account_lure.html,Synthetic gift-account lure.,synthetic_offline_evaluation,60,Suspicious keyword detected: account | Suspicious keyword detected: gift | Suspicious keyword detected: check | Hyphenated URL detected | Multiple hyphens detected,50,Suspicious keyword detected: verify your account | Suspicious keyword detected: claim reward | Password input field detected | Credential form submits to an external destination | Credential verification language detected,110,phishing,High Risk,true
P20,phishing,https://security-confirm-login.example/,fixtures/p20_confirmation_lure.html,Synthetic security confirmation lure.,synthetic_offline_evaluation,70,Suspicious keyword detected: login | Suspicious keyword detected: security | Suspicious keyword detected: confirm | Hyphenated URL detected | Multiple hyphens detected,45,Suspicious keyword detected: security alert | Password input field detected | Credential form submits to an external destination | Credential verification language detected,115,phishing,High Risk,true
P21,phishing,https://portal.example/notice,fixtures/p21_misleading_link_only.html,Synthetic misleading-link lure intentionally lacking scored URL/form indicators.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,false
P22,phishing,https://support.example/notice,fixtures/p22_callback_lure_only.html,Synthetic callback lure intentionally lacking scored HTML indicators.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,false
P23,phishing,https://portal.example/files,fixtures/p23_attachment_lure_only.html,Synthetic attachment lure intentionally lacking scored indicators.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,false
P24,phishing,https://notice.example/receipt,fixtures/p24_visual_impersonation_only.html,Synthetic visual-impersonation-style page with no implemented lexical or structural signal.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,false
P25,phishing,https://service.example/message,fixtures/p25_embedded_content_lure.html,Synthetic embedded-content lure; an iframe is an explicit implemented signal.,synthetic_offline_evaluation,0,,10,iframe detected,10,phishing,Medium Risk,true
